instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,65536,22979,19783,9704,6624,6446,841,18942,363,9341,3,6621,21765,35,0.044322462
1,RedBlackBST,65536,22979,19783,9704,6624,6446,841,18942,307,9397,5,6619,21765,18,0.049937546
2,BST,65536,22839,19858,9859,6433,6547,834,19024,364,9495,3,6430,21616,30,0.052556889
2,RedBlackBST,65536,22839,19858,9859,6433,6547,834,19024,303,9556,7,6426,21616,19,0.049899983
3,BST,65536,22865,19769,9816,6550,6536,811,18958,376,9440,0,6550,21632,33,0.049378801
3,RedBlackBST,65536,22865,19769,9816,6550,6536,811,18958,311,9505,3,6547,21632,19,0.03508914
4,BST,65536,22772,19676,9941,6684,6463,815,18861,370,9571,2,6682,21570,36,0.036221913
4,RedBlackBST,65536,22772,19676,9941,6684,6463,815,18861,322,9619,4,6680,21570,19,0.044981816
5,BST,65536,22972,19598,9788,6571,6607,859,18739,389,9399,4,6567,21783,33,0.070303745
5,RedBlackBST,65536,22972,19598,9788,6571,6607,859,18739,343,9445,10,6561,21783,20,0.055369187
6,BST,65536,22943,19776,9833,6441,6543,779,18997,367,9466,1,6440,21677,32,0.052976345
6,RedBlackBST,65536,22943,19776,9833,6441,6543,779,18997,298,9535,4,6437,21677,19,0.048421558
7,BST,65536,23085,19528,9837,6586,6500,825,18703,379,9458,0,6586,21820,38,0.04955157
7,RedBlackBST,65536,23085,19528,9837,6586,6500,825,18703,310,9527,0,6586,21820,20,0.028749963
8,BST,65536,22723,19678,9861,6553,6721,820,18858,380,9481,2,6551,21478,31,0.027069972
8,RedBlackBST,65536,22723,19678,9861,6553,6721,820,18858,325,9536,8,6545,21478,20,0.034776374
9,BST,65536,23014,19685,9744,6533,6560,870,18815,391,9353,0,6533,21782,31,0.050395719
9,RedBlackBST,65536,23014,19685,9744,6533,6560,870,18815,327,9417,1,6532,21782,19,0.066797458
10,BST,65536,22909,19805,9738,6638,6446,868,18937,361,9377,1,6637,21638,30,0.056946285
10,RedBlackBST,65536,22909,19805,9738,6638,6446,868,18937,300,9438,5,6633,21638,20,0.052723925
11,BST,65536,22867,19491,9798,6762,6618,796,18695,366,9432,4,6758,21602,35,0.055260118
11,RedBlackBST,65536,22867,19491,9798,6762,6618,796,18695,290,9508,5,6757,21602,19,0.050932551
12,BST,65536,22957,19515,9831,6624,6609,839,18676,385,9446,1,6623,21717,38,0.051682867
12,RedBlackBST,65536,22957,19515,9831,6624,6609,839,18676,317,9514,5,6619,21717,20,0.054329047
13,BST,65536,22938,19701,9809,6584,6504,856,18845,367,9442,1,6583,21681,32,0.067936762
13,RedBlackBST,65536,22938,19701,9809,6584,6504,856,18845,305,9504,5,6579,21681,20,0.047895585
14,BST,65536,22962,19675,9810,6475,6614,865,18810,393,9417,2,6473,21714,36,0.049384062
14,RedBlackBST,65536,22962,19675,9810,6475,6614,865,18810,330,9480,8,6467,21714,21,0.035216662
15,BST,65536,22794,19709,9873,6454,6706,826,18883,378,9495,2,6452,21598,33,0.046918004
15,RedBlackBST,65536,22794,19709,9873,6454,6706,826,18883,321,9552,5,6449,21598,19,0.05645155
16,BST,65536,22922,19795,9844,6453,6522,849,18946,366,9478,4,6449,21682,30,0.040783402
16,RedBlackBST,65536,22922,19795,9844,6453,6522,849,18946,311,9533,8,6445,21682,19,0.031125415
17,BST,65536,22969,19576,9853,6538,6600,862,18714,385,9468,3,6535,21719,37,0.034577293
17,RedBlackBST,65536,22969,19576,9853,6538,6600,862,18714,328,9525,6,6532,21719,20,0.060814093
18,BST,65536,22988,19615,9838,6512,6583,840,18775,338,9500,1,6511,21743,30,0.051163468
18,RedBlackBST,65536,22988,19615,9838,6512,6583,840,18775,289,9549,4,6508,21743,19,0.047997067
19,BST,65536,22925,19619,9808,6505,6679,865,18754,339,9469,2,6503,21638,31,0.027522003
19,RedBlackBST,65536,22925,19619,9808,6505,6679,865,18754,289,9519,2,6503,21638,19,0.026499928
20,BST,65536,23017,19559,9849,6563,6548,837,18722,379,9470,3,6560,21739,37,0.028049311
20,RedBlackBST,65536,23017,19559,9849,6563,6548,837,18722,314,9535,3,6560,21739,19,0.035968891
21,BST,65536,22824,19715,9882,6496,6619,794,18921,359,9523,0,6496,21592,35,0.048347209
21,RedBlackBST,65536,22824,19715,9882,6496,6619,794,18921,311,9571,3,6493,21592,19,0.051826133
22,BST,65536,22945,19761,9789,6506,6535,830,18931,382,9407,2,6504,21636,32,0.062638431
22,RedBlackBST,65536,22945,19761,9789,6506,6535,830,18931,314,9475,7,6499,21636,18,0.05082097
23,BST,65536,23019,19539,9809,6517,6652,822,18717,405,9404,0,6517,21751,33,0.051790494
23,RedBlackBST,65536,23019,19539,9809,6517,6652,822,18717,352,9457,1,6516,21751,19,0.027711099
24,BST,65536,22943,19615,9866,6598,6514,811,18804,363,9503,2,6596,21703,34,0.027152649
