instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,4096,1423,1200,646,417,410,49,1151,22,624,0,417,1356,23,0.003489735
1,RedBlackBST,4096,1423,1200,646,417,410,49,1151,21,625,0,417,1356,13,0.004499315
2,BST,4096,1427,1270,583,410,406,62,1208,23,560,0,410,1361,24,0.003928902
2,RedBlackBST,4096,1427,1270,583,410,406,62,1208,17,566,0,410,1361,14,0.004176996
3,BST,4096,1461,1226,597,392,420,43,1183,18,579,0,392,1379,22,0.003569631
3,RedBlackBST,4096,1461,1226,597,392,420,43,1183,16,581,1,391,1379,13,0.003350123
4,BST,4096,1406,1241,605,434,410,63,1178,22,583,0,434,1346,20,0.003410387
4,RedBlackBST,4096,1406,1241,605,434,410,63,1178,16,589,0,434,1346,13,0.003404841
5,BST,4096,1456,1227,617,399,397,42,1185,20,597,1,398,1368,22,0.003121139
5,RedBlackBST,4096,1456,1227,617,399,397,42,1185,16,601,1,398,1368,12,0.003399021
6,BST,4096,1462,1231,601,368,434,52,1179,29,572,0,368,1378,22,0.002293065
6,RedBlackBST,4096,1462,1231,601,368,434,52,1179,21,580,1,367,1378,12,0.002097648
7,BST,4096,1384,1234,672,397,409,53,1181,24,648,0,397,1315,27,0.001965084
7,RedBlackBST,4096,1384,1234,672,397,409,53,1181,20,652,0,397,1315,13,0.00204817
8,BST,4096,1481,1215,603,416,381,49,1166,23,580,0,416,1415,24,0.001940897
8,RedBlackBST,4096,1481,1215,603,416,381,49,1166,15,588,0,416,1415,13,0.001861641
9,BST,4096,1413,1257,620,384,422,47,1210,31,589,0,384,1322,23,0.001826808
9,RedBlackBST,4096,1413,1257,620,384,422,47,1210,26,594,0,384,1322,13,0.00122777
10,BST,4096,1427,1254,622,415,378,56,1198,23,599,0,415,1342,21,0.001466818
10,RedBlackBST,4096,1427,1254,622,415,378,56,1198,20,602,0,415,1342,13,0.001320247
11,BST,4096,1501,1213,589,393,400,60,1153,16,573,0,393,1410,21,0.001241274
11,RedBlackBST,4096,1501,1213,589,393,400,60,1153,12,577,0,393,1410,14,0.001412019
12,BST,4096,1500,1223,626,399,348,59,1164,23,603,0,399,1421,22,0.001929022
12,RedBlackBST,4096,1500,1223,626,399,348,59,1164,20,606,0,399,1421,13,0.001477677
13,BST,4096,1469,1271,574,369,413,62,1209,28,546,0,369,1392,20,0.001858656
13,RedBlackBST,4096,1469,1271,574,369,413,62,1209,24,550,0,369,1392,13,0.001885741
14,BST,4096,1412,1280,573,395,436,54,1226,23,550,0,395,1336,19,0.003642062
14,RedBlackBST,4096,1412,1280,573,395,436,54,1226,17,556,0,395,1336,14,0.004172381
15,BST,4096,1398,1286,621,405,386,58,1228,22,599,0,405,1327,20,0.003570187
15,RedBlackBST,4096,1398,1286,621,405,386,58,1228,18,603,0,405,1327,14,0.004067557
16,BST,4096,1406,1230,609,414,437,41,1189,27,582,0,414,1325,19,0.004107562
16,RedBlackBST,4096,1406,1230,609,414,437,41,1189,23,586,0,414,1325,14,0.004393528
17,BST,4096,1376,1255,613,435,417,58,1197,16,597,0,435,1299,23,0.004122546
17,RedBlackBST,4096,1376,1255,613,435,417,58,1197,14,599,0,435,1299,14,0.004455395
18,BST,4096,1446,1251,605,404,390,43,1208,18,587,0,404,1379,22,0.004216906
18,RedBlackBST,4096,1446,1251,605,404,390,43,1208,15,590,0,404,1379,13,0.004504262
19,BST,4096,1387,1242,614,404,449,50,1192,25,589,0,404,1300,23,0.002099012
19,RedBlackBST,4096,1387,1242,614,404,449,50,1192,20,594,0,404,1300,13,0.001776143
20,BST,4096,1398,1215,640,432,411,50,1165,15,625,0,432,1323,22,0.001215491
20,RedBlackBST,4096,1398,1215,640,432,411,50,1165,12,628,0,432,1323,13,0.002039059
21,BST,4096,1407,1256,606,389,438,56,1200,20,586,0,389,1325,21,0.001638835
21,RedBlackBST,4096,1407,1256,606,389,438,56,1200,16,590,0,389,1325,13,0.00354691
22,BST,4096,1402,1265,602,399,428,53,1212,26,576,0,399,1334,23,0.006072797
22,RedBlackBST,4096,1402,1265,602,399,428,53,1212,23,579,0,399,1334,13,0.005748689
